comuna_residencia,Poblacion 2021
Algarrobo,15436
Alhué,7536
Alto Biobío,6789
Alto Hospicio,134085
Alto del Carmen,5754
Ancud,42494
Andacollo,11818
Angol,56289
Antofagasta,433712
Antuco,4312
Antártica,141
Arauco,38769
Arica,250795
Aysén,25085
Buin,111934
Bulnes,22665
Cabildo,20715
Cabo de Hornos,1983
Cabrero,30842
Calama,193343
Calbuco,36997
Caldera,19612
Calera,53736
Calera de Tango,29019
Calle Larga,16804
Camarones,1239
Camiña,1384
Canela,9548
Carahue,25505
Cartagena,25815
Casablanca,29556
Castro,47934
Catemu,15360
Cauquenes,44253
Cañete,37139
Cerrillos,89520
Cerro Navia,142304
Chaitén,5033
Chanco,9319
Chañaral,13149
Chiguayante,91435
Chile Chico,5138
Chillán,200148
Chillán Viejo,34311
Chimbarongo,37935
Cholchol,12427
Chonchi,16092
Chépica,16003
Cisnes,5845
Cobquecura,5265
Cochamó,3991
Cochrane,3704
Codegua,14247
Coelemu,16871
Coihueco,28569
Coinco,7891
Colbún,22813
Colchane,1588
Colina,185599
Collipulli,26271
Coltauco,21507
Combarbalá,13893
Concepción,238661
Conchalí,139394
Concón,46527
Constitución,50479
Contulmo,6340
Copiapó,173253
Coquimbo,261811
Coronel,126729
Corral,5445
Coyhaique,61496
Cunco,18065
Curacautín,18196
Curacaví,36991
Curaco de Vélez,4086
Curanilahue,33921
Curarrehue,7826
Curepto,9353
Curicó,165757
Dalcahue,15178
Diego de Almagro,14258
Doñihue,22964
El Bosque,171789
El Carmen,12307
El Monte,40620
El Quisco,18056
El Tabo,14587
Empedrado,4196
Ercilla,8446
Estación Central,214470
Florida,11855
Freire,25472
Freirina,7739
Fresia,12638
Frutillar,20387
Futaleufú,2835
Futrono,15251
Galvarino,12623
General Lagos,810
Gorbea,15137
Graneros,36972
Guaitecas,1604
Hijuelas,19218
Hualaihué,9546
Hualañé,10232
Hualpén,97536
Hualqui,26366
Huara,3043
Huasco,11374
Huechuraba,114453
Illapel,32899
Independencia,147655
Iquique,227127
Isla de Maipo,40803
Isla de Pascua,8445
Juan Fernández,1053
La Cisterna,101126
La Cruz,26008
La Estrella,3113
La Florida,405185
La Granja,122028
La Higuera,4478
La Ligua,37957
La Pintana,189454
La Reina,100459
La Serena,254445
La Unión,39593
Lago Ranco,10293
Lago Verde,919
Laguna Blanca,259
Laja,23896
Lampa,131436
Lanco,17762
Las Cabras,27034
Las Condes,335296
Lautaro,41065
Lebu,27128
Licantén,6993
Limache,50439
Linares,101895
Litueche,6820
Llaillay,26760
Llanquihue,18694
Lo Barnechea,126816
Lo Espejo,103381
Lo Prado,104405
Lolol,7346
Loncoche,24766
Longaví,33051
Lonquimay,11071
Los Andes,68401
Los Angeles,220030
Los Lagos,20527
Los Muermos,17828
Los Sauces,7510
Los Vilos,23668
Los Álamos,22647
Lota,45672
Lumaco,10015
Machalí,61254
Macul,136278
Maipú,584053
Malloa,14213
Marchihue,7656
Mariquina,23458
María Elena,6773
María Pinto,15132
Maule,62394
Maullín,14859
Mejillones,15168
Melipeuco,6283
Melipilla,143779
Molina,50413
Monte Patria,32607
Mostazal,27765
Mulchén,31078
Máfil,7390
Nacimiento,27981
Nancagua,19309
Natales,24044
Navidad,6968
Negrete,10474
Ninhue,5402
Nogales,23559
Nueva Imperial,33898
O'Higgins,665
Olivar,14736
Ollagüe,283
Olmué,19535
Osorno,174269
Ovalle,122241
Padre Hurtado,76219
Padre Las Casas,83009
Paiguano,4690
Paillaco,20848
Paine,84379
Palena,1826
Palmilla,13386
Panguipulli,36072
Panquehue,7694
Papudo,6270
Paredones,6335
Parral,44844
Pedro Aguirre Cerda,107409
Pelarco,9171
Pelluhue,8187
Pemuco,8631
Pencahue,8614
Penco,49975
Peralillo,11946
Perquenco,7241
Petorca,10590
Peumo,14987
Peñaflor,102667
Peñalolén,269296
Pica,6085
Pichidegua,20855
Pichilemu,18136
Pinto,11965
Pirque,31134
Pitrufquen,26245
Placilla,9199
Portezuelo,4925
Porvenir,7421
Pozo Almonte,17853
Primavera,689
Providencia,160043
Puchuncaví,20391
Pucón,30052
Pudahuel,256607
Puente Alto,655033
Puerto Montt,272555
Puerto Octay,9159
Puerto Varas,49332
Pumanque,3532
Punitaqui,12271
Punta Arenas,143205
Puqueldón,4199
Purranque,21060
Purén,12167
Putaendo,17768
Putre,2536
Puyehue,11800
Queilén,5547
Quellón,29538
Quemchi,8779
Quilaco,4186
Quilicura,261993
Quilleco,10023
Quillota,98561
Quillón,18924
Quilpué,168931
Quinchao,8272
Quinta Normal,138904
Quinta de Tilcoco,13995
Quintero,36821
Quirihue,12214
Rancagua,267829
Rauco,11384
Recoleta,193605
Renaico,10884
Renca,161959
Rengo,64313
Requínoa,30749
Retiro,21194
Rinconada,11471
Romeral,16370
Ránquil,6275
Río Bueno,32953
Río Claro,14859
Río Hurtado,4361
Río Ibáñez,2705
Río Negro,14229
Río Verde,212
Saavedra,12764
Sagrada Familia,19556
Salamanca,29359
San Antonio,97323
San Bernardo,339043
San Carlos,56499
San Clemente,46751
San Esteban,20952
San Fabián,4693
San Felipe,84445
San Fernando,79353
San Gregorio,674
San Ignacio,16630
San Javier,49994
San Joaquín,103871
San José de Maipo,18917
San Juan de la Costa,7590
San Miguel,136835
San Nicolás,12261
San Pablo,10556
San Pedro,12132
San Pedro de Atacama,10675
San Pedro de la Paz,148070
San Rafael,10078
San Ramón,86017
San Rosendo,3595
San Vicente,51100
Santa Bárbara,14625
Santa Cruz,41511
Santa Juana,14819
Santa María,16539
Santiago,517280
Santo Domingo,12126
Sierra Gorda,1772
Talagante,82900
Talca,238343
Talcahuano,158347
Taltal,13806
Temuco,304871
Teno,31132
Teodoro Schmidt,15784
Tierra Amarilla,14374
Tiltil,21783
Timaukel,281
Tirúa,11046
Tocopilla,28214
Toltén,10027
Tomé,58873
Torres del Paine,1040
Tortel,576
Traiguén,19315
Treguaco,5718
Tucapel,15273
Valdivia,178226
Vallenar,57224
Valparaíso,317424
Vichuquén,4365
Victoria,35512
Vicuña,29990
Vilcún,31258
Villa Alegre,17656
Villa Alemana,141528
Villarrica,59554
Vitacura,97695
Viña del Mar,364472
Yerbas Buenas,19366
Yumbel,22158
Yungay,18670
Zapallar,8100
Ñiquén,11565
Ñuñoa,255823
